192.168.3.219	[31/Oct/2016:19:07:47	"GET	/	HTTP/1.1"	302	-	"-"
192.168.3.219	[31/Oct/2016:19:07:47	"GET	/dashboard/	HTTP/1.1"	200	6904	"-"
192.168.3.219	[31/Oct/2016:19:07:47	"GET	/dashboard/stylesheets/normalize.css	HTTP/1.1"	200	6876	"http://192.168.3.146/dashboard/"
192.168.3.219	[31/Oct/2016:19:07:47	"GET	/dashboard/stylesheets/all.css	HTTP/1.1"	200	481308	"http://192.168.3.146/dashboard/"
192.168.3.219	[31/Oct/2016:19:07:47	"GET	/dashboard/javascripts/modernizr.js	HTTP/1.1"	200	51365	"http://192.168.3.146/dashboard/"
192.168.3.219	[31/Oct/2016:19:07:47	"GET	/dashboard/javascripts/all.js	HTTP/1.1"	200	189003	"http://192.168.3.146/dashboard/"
192.168.3.219	[31/Oct/2016:19:07:47	"GET	/dashboard/images/xampp-logo.svg	HTTP/1.1"	200	5427	"http://192.168.3.146/dashboard/"
192.168.3.219	[31/Oct/2016:19:07:47	"GET	/dashboard/images/bitnami-xampp.png	HTTP/1.1"	200	22133	"http://192.168.3.146/dashboard/"
192.168.3.219	[31/Oct/2016:19:07:47	"GET	/dashboard/images/fastly-logo.png	HTTP/1.1"	200	1770	"http://192.168.3.146/dashboard/"
192.168.3.219	[31/Oct/2016:19:07:47	"GET	/dashboard/images/social-icons.png	HTTP/1.1"	200	3361	"http://192.168.3.146/dashboard/stylesheets/all.css"
192.168.3.219	[31/Oct/2016:19:07:47	"GET	/dashboard/images/fastly-logo@2x.png	HTTP/1.1"	200	2678	"http://192.168.3.146/dashboard/"
192.168.3.219	[31/Oct/2016:19:07:48	"GET	/dashboard/images/favicon.png	HTTP/1.1"	200	2508	"http://192.168.3.146/dashboard/"
192.168.3.219	[31/Oct/2016:19:25:13	"GET	/	HTTP/1.1"	302	-	"-"
192.168.3.219	[31/Oct/2016:19:25:19	"GET	/	HTTP/1.1"	302	-	"-"
192.168.3.219	[31/Oct/2016:19:25:35	"GET	/dashboard/	HTTP/1.1"	301	342	"-"
192.168.3.219	[31/Oct/2016:19:25:35	"GET	/dashboard	HTTP/1.1"	302	324	"-"
192.168.3.219	[31/Oct/2016:19:25:35	"GET	/	HTTP/1.1"	500	26434	"-"
192.168.3.219	[31/Oct/2016:19:25:36	"GET	/favicon.ico	HTTP/1.1"	200	-	"http://192.168.3.146/"
192.168.3.219	[31/Oct/2016:19:29:23	"GET	/	HTTP/1.1"	500	26434	"-"
192.168.3.219	[31/Oct/2016:19:29:23	"GET	/favicon.ico	HTTP/1.1"	200	-	"http://192.168.3.146/"
192.168.3.219	[31/Oct/2016:19:29:26	"GET	/	HTTP/1.1"	500	26434	"-"
192.168.3.219	[31/Oct/2016:19:29:26	"GET	/favicon.ico	HTTP/1.1"	200	-	"http://192.168.3.146/"
192.168.3.219	[31/Oct/2016:19:32:11	"GET	/	HTTP/1.1"	200	3627	"-"
192.168.3.219	[31/Oct/2016:19:32:12	"GET	/css/bootstrap.css	HTTP/1.1"	200	126432	"http://192.168.3.146/"
192.168.3.219	[31/Oct/2016:19:32:12	"GET	/js/jquery.number.js	HTTP/1.1"	200	21631	"http://192.168.3.146/"
192.168.3.219	[31/Oct/2016:19:32:12	"GET	/js/bootstrap.js	HTTP/1.1"	200	58327	"http://192.168.3.146/"
192.168.3.219	[31/Oct/2016:19:32:12	"GET	/css/jqPagination.css	HTTP/1.1"	200	3989	"http://192.168.3.146/"
192.168.3.219	[31/Oct/2016:19:32:12	"GET	/css/intranet.css	HTTP/1.1"	200	33264	"http://192.168.3.146/"
192.168.3.219	[31/Oct/2016:19:32:12	"GET	/js/jquery.jqpagination.js	HTTP/1.1"	200	10780	"http://192.168.3.146/"
